"rk",tier,"name",team,"pos","bye","sos","vs"
"81",7,"Quinshon Judkins",CLE,"RB28","9","4 out of 5 stars","-6"
"82",7,"Travis Kelce",KC,"TE7","10","3 out of 5 stars","+14"
"83",7,"Kaleb Johnson",PIT,"RB29","5","4 out of 5 stars","-7"
"84",7,"Jakobi Meyers",LV,"WR39","8","4 out of 5 stars","-14"
"85",7,"David Njoku",CLE,"TE8","9","3 out of 5 stars","+36"
"86",8,"Jaylen Warren",PIT,"RB30","5","4 out of 5 stars","+12"
"87",8,"Jauan Jennings",SF,"WR40","14","4 out of 5 stars","-27"
"88",8,"Jonnu Smith",MIA,"TE9","12","3 out of 5 stars","+26"
"89",8,"Mark Andrews",BAL,"TE10","7","3 out of 5 stars","+17"
"90",8,"Justin Herbert",LAC,"QB10","12","3 out of 5 stars","+34"
"91",8,"Stefon Diggs",NE,"WR41","14","3 out of 5 stars","-13"
"92",8,"Brian Robinson Jr.",WAS,"RB31","12","2 out of 5 stars","-5"
"93",8,"Jared Goff",DET,"QB11","8","2 out of 5 stars","+23"
"94",8,"Josh Downs",IND,"WR42","11","4 out of 5 stars","-12"
"95",8,"Caleb Williams",CHI,"QB12","5","2 out of 5 stars","+16"
"96",8,"Travis Etienne Jr.",JAC,"RB32","8","2 out of 5 stars","+9"
"97",8,"Brock Purdy",SF,"QB13","14","4 out of 5 stars","+5"
"98",8,"Tyrone Tracy Jr.",NYG,"RB33","14","3 out of 5 stars","+12"
"99",8,"Najee Harris",LAC,"RB34","12","2 out of 5 stars","+8"
"100",8,"Dak Prescott",DAL,"QB14","10","2 out of 5 stars","+15"
"101",8,"Michael Pittman Jr.",IND,"WR43","11","4 out of 5 stars","-9"
"102",8,"Brandon Aiyuk",SF,"WR44","14","4 out of 5 stars","-11"
"103",8,"Cooper Kupp",SEA,"WR45","8","3 out of 5 stars","-13"
"104",8,"Deebo Samuel Sr.",WAS,"WR46","12","3 out of 5 stars","-35"
"105",8,"Jayden Reed",GB,"WR47","5","2 out of 5 stars","-25"
"106",8,"Justin Fields",NYJ,"QB15","9","5 out of 5 stars","-9"
"107",8,"Drake Maye",NE,"QB16","14","5 out of 5 stars","+10"
"108",8,"Javonte Williams",DAL,"RB35","10","2 out of 5 stars","+11"
"109",8,"Jordan Love",GB,"QB17","5","2 out of 5 stars","+20"
"110",8,"Ricky Pearsall",SF,"WR48","14","4 out of 5 stars","-37"
"111",8,"C.J. Stroud",HOU,"QB18","6","3 out of 5 stars","+24"
"112",8,"Rhamondre Stevenson",NE,"RB36","14","4 out of 5 stars","+11"
"113",8,"Tucker Kraft",GB,"TE11","5","2 out of 5 stars","+21"
"114",8,"Trevor Lawrence",JAC,"QB19","8","3 out of 5 stars","+18"
"115",8,"Zach Charbonnet",SEA,"RB37","8","3 out of 5 stars","-2"
"116",8,"Jake Ferguson",DAL,"TE12","10","2 out of 5 stars","+32"
"117",9,"Darnell Mooney",ATL,"WR49","5","3 out of 5 stars","-31"
"118",9,"Dalton Kincaid",BUF,"TE13","7","3 out of 5 stars","+22"
"119",9,"Tyjae Spears",TEN,"RB38","10","2 out of 5 stars","+9"
"120",9,"Rachaad White",TB,"RB39","9","3 out of 5 stars","+21"
"121",9,"Christian Kirk",HOU,"WR50","6","4 out of 5 stars","-1"
"122",9,"Matthew Stafford",LAR,"QB20","8","3 out of 5 stars","+40"
"123",9,"Jordan Mason",MIN,"RB40","6","3 out of 5 stars","-30"
"124",9,"Tua Tagovailoa",MIA,"QB21","12","5 out of 5 stars","+25"
"125",9,"J.J. McCarthy",MIN,"QB22","6","2 out of 5 stars","0"
"126",9,"Cam Skattebo",NYG,"RB41","14","3 out of 5 stars","-17"
"127",9,"Dallas Goedert",PHI,"TE14","9","3 out of 5 stars","+15"
"128",9,"Tank Bigsby",JAC,"RB42","8","2 out of 5 stars","+29"
"129",9,"Rashid Shaheed",NO,"WR51","11","4 out of 5 stars","-21"
"130",9,"Austin Ekeler",WAS,"RB43","12","2 out of 5 stars","+21"
"131",9,"Luther Burden III",CHI,"WR52","5","2 out of 5 stars","-13"
"132",9,"Tyler Warren",IND,"TE15","11","3 out of 5 stars","-6"
"133",9,"Pat Freiermuth",PIT,"TE16","5","3 out of 5 stars","+34"
"134",9,"Bryce Young",CAR,"QB23","14","3 out of 5 stars","+18"
"135",9,"Rico Dowdle",CAR,"RB44","14","3 out of 5 stars","+38"
"136",9,"Keon Coleman",BUF,"WR53","7","3 out of 5 stars","-35"
"137",9,"Hunter Henry",NE,"TE17","14","3 out of 5 stars","+32"
"138",9,"Marquise Brown",KC,"WR54","10","3 out of 5 stars","-5"
"139",9,"Cedric Tillman",CLE,"WR55","9","2 out of 5 stars","+5"
"140",9,"Emeka Egbuka",TB,"WR56","9","3 out of 5 stars","-46"
"141",9,"Michael Penix Jr.",ATL,"QB24","5","4 out of 5 stars","+2"
"142",9,"Ray Davis",BUF,"RB45","7","4 out of 5 stars","-6"
"143",9,"Tyler Allgeier",ATL,"RB46","5","4 out of 5 stars","+10"
"144",9,"Rashod Bateman",BAL,"WR57","7","3 out of 5 stars","-32"
"145",9,"Adam Thielen",CAR,"WR58","14","4 out of 5 stars","+11"
"146",10,"Geno Smith",LV,"QB25","8","3 out of 5 stars","+14"
"147",10,"Isaac Guerendo",SF,"RB47","14","3 out of 5 stars","-2"
"148",10,"Colston Loveland",CHI,"TE18","5","4 out of 5 stars","-11"
"149",10,"Trey Benson",ARI,"RB48","8","3 out of 5 stars","-10"
"150",10,"Matthew Golden",GB,"WR59","5","2 out of 5 stars","-71"
"151",10,"Romeo Doubs",GB,"WR60","5","2 out of 5 stars","+7"
"152",10,"Marvin Mims Jr.",DEN,"WR61","12","3 out of 5 stars","-25"
"153",10,"Jalen McMillan",TB,"WR62","9","3 out of 5 stars","+1"
"154",10,"Braelon Allen",NYJ,"RB49","9","5 out of 5 stars","+17"
"155",10,"Jaylen Wright",MIA,"RB50","12","4 out of 5 stars","+15"
"156",10,"Bhayshul Tuten",JAC,"RB51","8","2 out of 5 stars","-25"
"157",10,"Denver Broncos",DEN,"DST1","12","4 out of 5 stars","-"
"158",10,"Sam Darnold",SEA,"QB26","8","4 out of 5 stars","+16"
"159",10,"Kyle Pitts",ATL,"TE19","5","3 out of 5 stars","+2"
"160",10,"Zach Ertz",WAS,"TE20","12","3 out of 5 stars","+12"
"161",10,"Wan'Dale Robinson",NYG,"WR63","14","2 out of 5 stars","+7"
